REGION,BRANCH,FULL_BRANCH
E,1850,1850
F,1851,1851
E,1852,1852
G,1853,1853
R,1854,1854
B,1855,1855
E,1856,1856
I,1857,1857
J,1858,1858
J,1859,1859
M,1860,1860
H,1861,1861
J,1862,1862
D,1863,1863
L,1864,1864
E,1865,1865
F,1866,1866
I,1867,1867
Q,1868,1868
D,1869,1869
K,1870,1870
I,1871,1871
G,1872,1872
I,1873,1873
B,1874,1874
H,1875,1875
N,1876,1876
G,1877,1877
E,1878,1878
R,1879,1879
O,1880,1880
C,1881,1881
B,1882,1882
J,1883,1883
H,1884,1884
H,1885,1885
H,1886,1886
D,1887,1887
R,1888,1888
F,2000,2000
R,2001,2001
M,2002,2002
N,2003,2003
E,2004,2004
I,2005,2005
E,2006,2006
E,2007,2007
I,2008,2008
I,2009,2009
Q,2010,2010
Q,2011,2011
Q,2012,2012
E,2013,2013
J,2014,2014
D,2015,2015
F,2016,2016
K,2017,2017
I,2018,2018
E,2019,2019
E,2020,2020
K,2021,2021
E,2022,2022
N,2023,2023
N,2024,2024
N,2025,2025
X,2026,2026
C,2027,2027
G,2028,2028
K,2029,2029
K,2030,2030
K,2031,2031
K,2032,2032
H,2033,2033
H,2034,2034
A,2035,2035
B,2036,2036
Q,2037,2037
E,2038,2038
E,2039,2039
Q,2040,2040
Q,2041,2041
P,2042,2042
C,2043,2043
K,2044,2044
Q,2045,2045
E,2046,2046
L,2047,2047
Q,2049,2049
R,2050,2050
P,2051,2051
P,2052,2052
P,2053,2053
P,2054,2054
H,2055,2055
A,2056,2056
A,2057,2057
F,2058,2058
L,2059,2059
L,2060,2060
Q,2061,2061
B,2062,2062
O,2063,2063
O,2064,2064
R,2065,2065
R,2066,2066
R,2067,2067
G,2068,2068
L,2069,2069
M,2070,2070
I,2071,2071
I,2072,2072
I,2073,2073
I,2074,2074
I,2075,2075
D,2076,2076
J,2077,2077
L,2078,2078
E,2079,2079
E,2080,2080
Q,2081,2081
B,2082,2082
B,2083,2083
B,2084,2084
P,2085,2085
P,2086,2086
X,2087,2087
D,2088,2088
D,2089,2089
D,2090,2090
D,2091,2091
J,2092,2092
D,2093,2093
K,2094,2094
G,2095,2095
G,2096,2096
H,2097,2097
H,2098,2098
H,2099,2099
O,2100,2100
I,2101,2101
E,2102,2102
F,2103,2103
F,2104,2104
F,2105,2105
E,2106,2106
I,2108,2108
R,2109,2109
H,2110,2110
N,2111,2111
L,2112,2112
I,2113,2113
I,2114,2114
X,2115,2115
X,2116,2116
X,2117,2117
K,2118,2118
J,2119,2119
H,2120,2120
L,2121,2121
M,2122,2122
I,2123,2123
I,2124,2124
Q,2126,2126
F,2128,2128
N,2129,2129
L,2130,2130
